record_type,trajectory_group,permutation_draw,sum_absolute_standardised_coefficients,signed_standardised_coefficient_sum,log_loss_deterioration,brier_deterioration,auc_deterioration
permutation_draw,FRUSTRATION_TRAJECTORY,3.0,,,0.0004349956870387528,0.00020465882935588597,0.0007112551549171009
permutation_draw,FRUSTRATION_TRAJECTORY,4.0,,,0.0007882278822771704,0.0002860691966003748,0.001245736891822169
permutation_draw,FRUSTRATION_TRAJECTORY,5.0,,,0.00094030914996035,0.00035437202605756446,0.0010989419716070925
permutation_draw,FRUSTRATION_TRAJECTORY,6.0,,,0.0006591856056225032,0.00023972119395709868,0.0008304794372065993
permutation_draw,FRUSTRATION_TRAJECTORY,7.0,,,0.0008542432919040888,0.0003545640789539284,0.0011824622529157391
permutation_draw,FRUSTRATION_TRAJECTORY,8.0,,,0.0003852302551450304,0.00012969939729731705,0.0004476936390437336
permutation_draw,FRUSTRATION_TRAJECTORY,9.0,,,7.067212567313241e-05,2.899530231262326e-05,0.00017706571018671902
permutation_draw,FRUSTRATION_TRAJECTORY,10.0,,,0.00021087087922688763,7.767563415811418e-05,0.0004884762698038614
permutation_draw,FRUSTRATION_TRAJECTORY,11.0,,,0.0012912002211568074,0.0005236245922679572,0.0023312725547537383
permutation_draw,FRUSTRATION_TRAJECTORY,12.0,,,0.0006622238280691306,0.0002658192761906819,0.0006821986606949659
permutation_draw,FRUSTRATION_TRAJECTORY,13.0,,,0.00042966036938896224,0.00015565482518625773,0.0007550047357809397
permutation_draw,FRUSTRATION_TRAJECTORY,14.0,,,0.0011695505835377373,0.00047221734507929547,0.0018501068674405818
permutation_draw,FRUSTRATION_TRAJECTORY,15.0,,,0.0006205871524984641,0.00026105690207900434,0.0007225684302726298
permutation_draw,FRUSTRATION_TRAJECTORY,16.0,,,0.00045762428512519104,0.00018253036818147161,0.0007060840691660575
permutation_draw,FRUSTRATION_TRAJECTORY,17.0,,,0.00024540840714759593,8.168229087615608e-05,0.00013706091231624473
permutation_draw,FRUSTRATION_TRAJECTORY,18.0,,,0.0006959259399099693,0.0003124773246847845,0.0011718180221003127
permutation_draw,FRUSTRATION_TRAJECTORY,19.0,,,0.0008087891786137114,0.00032032369326692733,0.0010335218312784722
permutation_summary,FRUSTRATION_TRAJECTORY,,0.1301906211509179,-0.030586864345091364,0.0006254196395405809,0.00025049296600585663,0.000935623928465884
coefficient_summary,TENSION_TRAJECTORY,,0.023433142669606992,0.023433142669606992,,,
permutation_draw,TENSION_TRAJECTORY,0.0,,,3.7361486459386306e-05,1.6966244255484098e-05,0.000277874989068172
permutation_draw,TENSION_TRAJECTORY,1.0,,,8.56374102873314e-05,3.599305992421642e-05,0.00023075440438458106
permutation_draw,TENSION_TRAJECTORY,2.0,,,0.00017710234569934258,8.651679469839912e-05,0.00042489364762166026
permutation_draw,TENSION_TRAJECTORY,3.0,,,4.507595220426541e-05,1.8709440611192063e-05,6.234040174279976e-05
permutation_draw,TENSION_TRAJECTORY,4.0,,,0.00012602158327534863,4.7461390455333374e-05,0.0002845163207343404
permutation_draw,TENSION_TRAJECTORY,5.0,,,2.7355756685554233e-05,-5.412401994142613e-06,0.00019852392630870241
permutation_draw,TENSION_TRAJECTORY,6.0,,,5.189817571715771e-05,3.461027183515597e-05,0.00012407267127345634
permutation_draw,TENSION_TRAJECTORY,7.0,,,0.00014236797774935805,4.690647626021116e-05,0.00033606515943662707
