record_type,draw,lookback_bars,precursor_type,observed_prevalence,null_prevalence,mean_null_prevalence,observed_minus_null_enrichment,null_percentile,null_90th_percentile
draw,5,3,hidden_2_5_2,0.00449101796407186,0.00898203592814371,,-0.00449101796407186,,
draw,6,3,hidden_2_5_2,0.00449101796407186,0.00598802395209581,,-0.00149700598802395,,
draw,7,3,hidden_2_5_2,0.00449101796407186,0.00748502994011976,,-0.0029940119760479,,
draw,8,3,hidden_2_5_2,0.00449101796407186,0.00598802395209581,,-0.00149700598802395,,
draw,9,3,hidden_2_5_2,0.00449101796407186,0.00748502994011976,,-0.0029940119760479,,
draw,10,3,hidden_2_5_2,0.00449101796407186,0.0104790419161677,,-0.00598802395209581,,
draw,11,3,hidden_2_5_2,0.00449101796407186,0.00898203592814371,,-0.00449101796407186,,
draw,12,3,hidden_2_5_2,0.00449101796407186,0.00449101796407186,,0,,
draw,13,3,hidden_2_5_2,0.00449101796407186,0.00449101796407186,,0,,
draw,14,3,hidden_2_5_2,0.00449101796407186,0.00748502994011976,,-0.0029940119760479,,
draw,15,3,hidden_2_5_2,0.00449101796407186,0.0119760479041916,,-0.00748502994011976,,
draw,16,3,hidden_2_5_2,0.00449101796407186,0.00598802395209581,,-0.00149700598802395,,
draw,17,3,hidden_2_5_2,0.00449101796407186,0.00598802395209581,,-0.00149700598802395,,
draw,18,3,hidden_2_5_2,0.00449101796407186,0.00898203592814371,,-0.00449101796407186,,
draw,19,3,hidden_2_5_2,0.00449101796407186,0.00748502994011976,,-0.0029940119760479,,
draw,20,3,hidden_2_5_2,0.00449101796407186,0.0149700598802395,,-0.0104790419161677,,
draw,21,3,hidden_2_5_2,0.00449101796407186,0.00449101796407186,,0,,
draw,22,3,hidden_2_5_2,0.00449101796407186,0.0104790419161677,,-0.00598802395209581,,
draw,23,3,hidden_2_5_2,0.00449101796407186,0.00598802395209581,,-0.00149700598802395,,
draw,24,3,hidden_2_5_2,0.00449101796407186,0.0119760479041916,,-0.00748502994011976,,
summary,-1,3,hidden_2_5_2,0.00449101796407186,,0.00766467065868264,-0.00317365269461078,20,0.011377245508982
draw,0,3,hidden_4_7_4,0,0.0104790419161677,,-0.0104790419161677,,
draw,1,3,hidden_4_7_4,0,0.00598802395209581,,-0.00598802395209581,,
draw,2,3,hidden_4_7_4,0,0.00449101796407186,,-0.00449101796407186,,
draw,3,3,hidden_4_7_4,0,0.00898203592814371,,-0.00898203592814371,,
draw,4,3,hidden_4_7_4,0,0.00748502994011976,,-0.00748502994011976,,
draw,5,3,hidden_4_7_4,0,0.00598802395209581,,-0.00598802395209581,,
draw,6,3,hidden_4_7_4,0,0.0104790419161677,,-0.0104790419161677,,
draw,7,3,hidden_4_7_4,0,0.0119760479041916,,-0.0119760479041916,,
draw,8,3,hidden_4_7_4,0,0.0104790419161677,,-0.0104790419161677,,
draw,9,3,hidden_4_7_4,0,0.00748502994011976,,-0.00748502994011976,,
draw,10,3,hidden_4_7_4,0,0.0029940119760479,,-0.0029940119760479,,
draw,11,3,hidden_4_7_4,0,0.00598802395209581,,-0.00598802395209581,,
draw,12,3,hidden_4_7_4,0,0.0119760479041916,,-0.0119760479041916,,
draw,13,3,hidden_4_7_4,0,0.00898203592814371,,-0.00898203592814371,,
