record_type,draw,metric,value,lower_90,upper_90,lower_95,upper_95
draw,164,A2_minus_A1_log_loss_improvement,0.00185284901763,,,,
draw,165,A2_minus_A1_log_loss_improvement,0.00668483921905,,,,
draw,166,A2_minus_A1_log_loss_improvement,0.00161831438486,,,,
draw,167,A2_minus_A1_log_loss_improvement,0.00668610546372,,,,
draw,168,A2_minus_A1_log_loss_improvement,0.00462553153262,,,,
draw,169,A2_minus_A1_log_loss_improvement,0.0104957322172,,,,
draw,170,A2_minus_A1_log_loss_improvement,-0.000317526284281,,,,
draw,171,A2_minus_A1_log_loss_improvement,0.00743403707324,,,,
draw,172,A2_minus_A1_log_loss_improvement,-0.00259868053572,,,,
draw,173,A2_minus_A1_log_loss_improvement,-0.00155445090624,,,,
draw,174,A2_minus_A1_log_loss_improvement,-0.000931011001536,,,,
draw,175,A2_minus_A1_log_loss_improvement,0.0042040224509,,,,
draw,176,A2_minus_A1_log_loss_improvement,0.00252652226766,,,,
draw,177,A2_minus_A1_log_loss_improvement,0.0107453128117,,,,
draw,178,A2_minus_A1_log_loss_improvement,-0.000838338210595,,,,
draw,179,A2_minus_A1_log_loss_improvement,0.00977043655706,,,,
draw,180,A2_minus_A1_log_loss_improvement,-0.0028770545908,,,,
draw,181,A2_minus_A1_log_loss_improvement,-0.00355147211946,,,,
draw,182,A2_minus_A1_log_loss_improvement,0.00314555831684,,,,
draw,183,A2_minus_A1_log_loss_improvement,0.0161132259611,,,,
draw,184,A2_minus_A1_log_loss_improvement,0.00117244317508,,,,
draw,185,A2_minus_A1_log_loss_improvement,0.00762978483836,,,,
draw,186,A2_minus_A1_log_loss_improvement,0.00745217440979,,,,
draw,187,A2_minus_A1_log_loss_improvement,0.0112662655111,,,,
draw,188,A2_minus_A1_log_loss_improvement,0.00458490613823,,,,
draw,189,A2_minus_A1_log_loss_improvement,0.00165157551221,,,,
draw,190,A2_minus_A1_log_loss_improvement,0.0060321861952,,,,
draw,191,A2_minus_A1_log_loss_improvement,0.00543155232684,,,,
draw,192,A2_minus_A1_log_loss_improvement,0.00904122565959,,,,
draw,193,A2_minus_A1_log_loss_improvement,0.0115339106098,,,,
draw,194,A2_minus_A1_log_loss_improvement,0.00127742753722,,,,
draw,195,A2_minus_A1_log_loss_improvement,0.0178428333891,,,,
draw,196,A2_minus_A1_log_loss_improvement,0.00642969991119,,,,
draw,197,A2_minus_A1_log_loss_improvement,0.00875679385398,,,,
draw,198,A2_minus_A1_log_loss_improvement,0.00554994778261,,,,
draw,199,A2_minus_A1_log_loss_improvement,0.00137043838913,,,,
draw,0,A3_minus_A2_brier_improvement,-0.00142408506135,,,,
draw,1,A3_minus_A2_brier_improvement,-0.00167058602743,,,,
draw,2,A3_minus_A2_brier_improvement,0.000500471833761,,,,
