detector,period,deleted_symbol,rows,target_first_precision,precision_lift,dynamic_mean_net_bps
H4_opening_range_failed_breakdown_long,2025,RIVN,454,0.40308370044052866,-0.08590308370044053,-22.447414188122718
H4_opening_range_failed_breakdown_long,2025,SMCI,446,0.3968609865470852,-0.08295964125560538,-23.400750564240493
H4_opening_range_failed_breakdown_long,2025,SOFI,456,0.40131578947368424,-0.08771929824561403,-22.62021661108127
H4_opening_range_failed_breakdown_long,2025,WULF,446,0.4013452914798206,-0.09417040358744394,-22.217845855268248
H4_opening_range_failed_breakdown_long,2026,AAOI,227,0.4845814977973568,-0.03524229074889868,-10.498275376337162
H4_opening_range_failed_breakdown_long,2026,APLD,229,0.47161572052401746,-0.043668122270742356,-12.605962748033665
H4_opening_range_failed_breakdown_long,2026,ASTS,222,0.481981981981982,-0.02252252252252252,-11.480985063336306
H4_opening_range_failed_breakdown_long,2026,CIFR,223,0.4977578475336323,0.0,-9.050240399897241
H4_opening_range_failed_breakdown_long,2026,HIMS,230,0.4826086956521739,-0.021739130434782608,-11.69822279038343
H4_opening_range_failed_breakdown_long,2026,IONQ,225,0.4666666666666667,-0.044444444444444446,-13.516780934489395
H4_opening_range_failed_breakdown_long,2026,IREN,228,0.4692982456140351,-0.039473684210526314,-12.258953102940033
H4_opening_range_failed_breakdown_long,2026,MARA,226,0.48672566371681414,-0.035398230088495575,-10.472236771955046
H4_opening_range_failed_breakdown_long,2026,MP,229,0.462882096069869,-0.043668122270742356,-13.115494631107874
H4_opening_range_failed_breakdown_long,2026,MRNA,232,0.47413793103448276,-0.03879310344827586,-11.819591904386469
H4_opening_range_failed_breakdown_long,2026,MSTR,223,0.484304932735426,-0.03139013452914798,-11.763190602788532
H4_opening_range_failed_breakdown_long,2026,NVTS,226,0.47345132743362833,-0.03982300884955752,-12.765373930654045
H4_opening_range_failed_breakdown_long,2026,QBTS,225,0.47555555555555556,-0.03111111111111111,-11.860618952792986
H4_opening_range_failed_breakdown_long,2026,RGTI,224,0.47767857142857145,-0.022321428571428572,-11.943739970548501
H4_opening_range_failed_breakdown_long,2026,RIOT,222,0.481981981981982,-0.03153153153153153,-11.669926455080988
H4_opening_range_failed_breakdown_long,2026,RIVN,229,0.4759825327510917,-0.03056768558951965,-12.200038729368242
H4_opening_range_failed_breakdown_long,2026,SMCI,227,0.47577092511013214,-0.030837004405286344,-12.340353517935405
H4_opening_range_failed_breakdown_long,2026,SOFI,232,0.47413793103448276,-0.034482758620689655,-12.021873677635654
H4_opening_range_failed_breakdown_long,2026,WULF,223,0.4663677130044843,-0.05829596412556054,-12.818035710348836
H5_activity_activated_downside_expansion_long,2025,AAL,515,0.3029126213592233,-0.07184466019417475,-22.052699934878092
H5_activity_activated_downside_expansion_long,2025,AAOI,476,0.29831932773109243,-0.07142857142857142,-22.510319142493998
H5_activity_activated_downside_expansion_long,2025,APLD,480,0.3020833333333333,-0.07291666666666667,-21.96215933661879
H5_activity_activated_downside_expansion_long,2025,ASTS,489,0.3047034764826176,-0.065439672801636,-22.116407401422872
H5_activity_activated_downside_expansion_long,2025,CIFR,475,0.3136842105263158,-0.05894736842105263,-21.396479913588877
H5_activity_activated_downside_expansion_long,2025,HIMS,494,0.3117408906882591,-0.0728744939271255,-21.53335090812131
H5_activity_activated_downside_expansion_long,2025,IONQ,483,0.3002070393374741,-0.07246376811594203,-22.26527141325307
H5_activity_activated_downside_expansion_long,2025,IREN,494,0.305668016194332,-0.08097165991902834,-21.99954440635804
H5_activity_activated_downside_expansion_long,2025,MARA,505,0.30297029702970296,-0.07326732673267326,-22.050845008337117
H5_activity_activated_downside_expansion_long,2025,MP,498,0.2971887550200803,-0.08835341365461848,-22.644812652202805
H5_activity_activated_downside_expansion_long,2025,MRNA,508,0.30118110236220474,-0.07480314960629922,-22.083103179391586
H5_activity_activated_downside_expansion_long,2025,MSTR,503,0.2982107355864811,-0.0775347912524851,-22.358108833360127
H5_activity_activated_downside_expansion_long,2025,NVTS,473,0.3107822410147992,-0.06765327695560254,-21.35790185855724
H5_activity_activated_downside_expansion_long,2025,QBTS,484,0.3181818181818182,-0.08264462809917356,-20.831915825386258
H5_activity_activated_downside_expansion_long,2025,RGTI,475,0.3136842105263158,-0.05894736842105263,-21.437715020533467
H5_activity_activated_downside_expansion_long,2025,RIOT,499,0.30861723446893785,-0.07214428857715431,-21.907839971887448
H5_activity_activated_downside_expansion_long,2025,RIVN,512,0.3046875,-0.0703125,-22.04474954620924
H5_activity_activated_downside_expansion_long,2025,SMCI,506,0.308300395256917,-0.06719367588932806,-21.88367141831318
H5_activity_activated_downside_expansion_long,2025,SOFI,512,0.310546875,-0.0703125,-21.7361743376927
H5_activity_activated_downside_expansion_long,2025,WULF,480,0.3145833333333333,-0.05416666666666667,-21.544284995649022
H5_activity_activated_downside_expansion_long,2026,AAOI,187,0.42780748663101603,0.0213903743315508,-13.516616222807814
H5_activity_activated_downside_expansion_long,2026,APLD,201,0.4228855721393035,0.014925373134328358,-13.605247111603218
H5_activity_activated_downside_expansion_long,2026,ASTS,191,0.4293193717277487,0.031413612565445025,-13.048140176701873
H5_activity_activated_downside_expansion_long,2026,CIFR,194,0.4175257731958763,0.020618556701030927,-14.22923647921111
H5_activity_activated_downside_expansion_long,2026,HIMS,198,0.42424242424242425,0.030303030303030304,-13.423084098215101
H5_activity_activated_downside_expansion_long,2026,IONQ,198,0.41414141414141414,0.03535353535353535,-14.278005138236237
H5_activity_activated_downside_expansion_long,2026,IREN,199,0.4120603015075377,0.005025125628140704,-14.478541078248893
H5_activity_activated_downside_expansion_long,2026,MARA,201,0.42786069651741293,0.03482587064676617,-13.416984173082675
H5_activity_activated_downside_expansion_long,2026,MP,206,0.4223300970873786,0.019417475728155338,-13.639966784005322
