scope_type,scope_value,target,model,bin,lower_bound,upper_bound,row_count,mean_probability,observed_rate
checkpoint,6,large_remaining_move,P3,1,0,0.10000000000000001,118,0.087004586398079828,0.084745762711864403
checkpoint,6,large_remaining_move,P3,2,0.10000000000000001,0.20000000000000001,1186,0.15433325025735484,0.12647554806070826
checkpoint,6,large_remaining_move,P3,3,0.20000000000000001,0.29999999999999999,1000,0.24520461064524218,0.19700000000000001
checkpoint,6,large_remaining_move,P3,4,0.29999999999999999,0.40000000000000002,452,0.34210068411117922,0.23893805309734514
checkpoint,6,large_remaining_move,P3,5,0.40000000000000002,0.5,194,0.44378591875752438,0.36597938144329895
checkpoint,6,large_remaining_move,P3,6,0.5,0.59999999999999998,104,0.5394264002274165,0.46153846153846156
checkpoint,6,large_remaining_move,P3,7,0.59999999999999998,0.69999999999999996,47,0.64762951825629345,0.61702127659574468
checkpoint,6,large_remaining_move,P3,8,0.69999999999999996,0.80000000000000004,16,0.75334902084990607,0.625
checkpoint,6,large_remaining_move,P3,9,0.80000000000000004,0.90000000000000002,12,0.84366913648208808,0.58333333333333337
checkpoint,6,large_remaining_move,P3,10,0.90000000000000002,1,2,0.95870749833498503,0.5
checkpoint,6,up_given_large_move,D0,1,0,0.10000000000000001,0,,
checkpoint,6,up_given_large_move,D0,2,0.10000000000000001,0.20000000000000001,0,,
checkpoint,6,up_given_large_move,D0,3,0.20000000000000001,0.29999999999999999,0,,
checkpoint,6,up_given_large_move,D0,4,0.29999999999999999,0.40000000000000002,0,,
checkpoint,6,up_given_large_move,D0,5,0.40000000000000002,0.5,0,,
checkpoint,6,up_given_large_move,D0,6,0.5,0.59999999999999998,631,0.5491269632248289,0.53407290015847864
checkpoint,6,up_given_large_move,D0,7,0.59999999999999998,0.69999999999999996,0,,
checkpoint,6,up_given_large_move,D0,8,0.69999999999999996,0.80000000000000004,0,,
checkpoint,6,up_given_large_move,D0,9,0.80000000000000004,0.90000000000000002,0,,
checkpoint,6,up_given_large_move,D0,10,0.90000000000000002,1,0,,
checkpoint,6,up_given_large_move,D1,1,0,0.10000000000000001,0,,
checkpoint,6,up_given_large_move,D1,2,0.10000000000000001,0.20000000000000001,0,,
checkpoint,6,up_given_large_move,D1,3,0.20000000000000001,0.29999999999999999,1,0.27789125497749656,0
checkpoint,6,up_given_large_move,D1,4,0.29999999999999999,0.40000000000000002,12,0.36150313572755527,0.33333333333333331
checkpoint,6,up_given_large_move,D1,5,0.40000000000000002,0.5,130,0.46679927416659545,0.5
checkpoint,6,up_given_large_move,D1,6,0.5,0.59999999999999998,291,0.55329475612856494,0.53608247422680411
checkpoint,6,up_given_large_move,D1,7,0.59999999999999998,0.69999999999999996,185,0.63453523399197165,0.55135135135135138
checkpoint,6,up_given_large_move,D1,8,0.69999999999999996,0.80000000000000004,11,0.72598683237871675,0.81818181818181823
checkpoint,6,up_given_large_move,D1,9,0.80000000000000004,0.90000000000000002,1,0.8904033247021792,1
checkpoint,6,up_given_large_move,D1,10,0.90000000000000002,1,0,,
checkpoint,6,up_given_large_move,D2,1,0,0.10000000000000001,0,,
checkpoint,6,up_given_large_move,D2,2,0.10000000000000001,0.20000000000000001,0,,
checkpoint,6,up_given_large_move,D2,3,0.20000000000000001,0.29999999999999999,3,0.28669799663711676,0.33333333333333331
checkpoint,6,up_given_large_move,D2,4,0.29999999999999999,0.40000000000000002,16,0.35990837805177567,0.3125
checkpoint,6,up_given_large_move,D2,5,0.40000000000000002,0.5,124,0.46471471193419017,0.49193548387096775
checkpoint,6,up_given_large_move,D2,6,0.5,0.59999999999999998,291,0.55167303854698413,0.55670103092783507
checkpoint,6,up_given_large_move,D2,7,0.59999999999999998,0.69999999999999996,161,0.63664967433332997,0.54658385093167705
checkpoint,6,up_given_large_move,D2,8,0.69999999999999996,0.80000000000000004,32,0.73792999448774244,0.59375
checkpoint,6,up_given_large_move,D2,9,0.80000000000000004,0.90000000000000002,3,0.83694040138436898,0
checkpoint,6,up_given_large_move,D2,10,0.90000000000000002,1,1,0.95043975683977755,1
checkpoint,6,up_given_large_move,D3,1,0,0.10000000000000001,0,,
checkpoint,6,up_given_large_move,D3,2,0.10000000000000001,0.20000000000000001,0,,
checkpoint,6,up_given_large_move,D3,3,0.20000000000000001,0.29999999999999999,0,,
