scope_type,scope_value,target,model,brier_score,log_loss,auc,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,row_count,session_count,stock_count
month,2025-07,large_remaining_move,P1,0.15832704831521585,0.49931914370683478,0.6255875272268715,-0.67691325157487137,0.60045350338242964,0.044036085127024602,0.2011904761904762,840,21,20
month,2025-07,large_remaining_move,P2,0.15706935288342536,0.49058555172208451,0.62334764856832947,-0.50501922488565598,0.67921137008025601,0.036587068651826198,0.2011904761904762,840,21,20
month,2025-07,large_remaining_move,P3,0.15744015633025743,0.49161027366230642,0.62138114092716867,-0.52554860726856212,0.65686823323283705,0.046008740199212909,0.2011904761904762,840,21,20
month,2025-07,up_given_large_move,D0,0.24461190220569645,0.68237516845780466,0.43202898550724633,2.449479580997473,-9.7446622782050625,0.045891125006420647,0.59171597633136097,169,21,20
month,2025-07,up_given_large_move,D1,0.24646136229391249,0.68648762941179653,0.49550724637681159,0.40084654090765282,-0.10204486347118573,0.094647121476584065,0.59171597633136097,169,21,20
month,2025-07,up_given_large_move,D2,0.24979990081232337,0.69446767747060156,0.48942028985507247,0.50592608261594141,-0.37763351945014206,0.084038538744900776,0.59171597633136097,169,21,20
month,2025-07,up_given_large_move,D3,0.24895930354974002,0.69229792064554219,0.49304347826086958,0.44091482495390677,-0.20838658931844567,0.092773993823439413,0.59171597633136097,169,21,20
month,2025-08,large_remaining_move,P0,0.15012557928729647,0.4802736614357489,0.48917748917748921,-26.407785971467202,-22.713775551101275,0.075802195779324344,0.17499999999999999,640,16,20
month,2025-08,large_remaining_move,P1,0.13698456543430551,0.44467097921211851,0.66588879870129869,-0.094967927557508547,1.2415130312797886,0.059384930973496244,0.17499999999999999,640,16,20
month,2025-08,large_remaining_move,P2,0.13444985266869941,0.43623388032486188,0.69093276515151514,-0.10812547133942352,1.1526567075324909,0.060184404330049693,0.17499999999999999,640,16,20
month,2025-08,large_remaining_move,P3,0.13448065707743959,0.43501011957128738,0.69588744588744589,-0.13292610325061072,1.1329192329743738,0.055855371829510905,0.17499999999999999,640,16,20
month,2025-08,up_given_large_move,D0,0.23888948563758763,0.670887218885037,0.34211450649806813,4.5979478822036555,-18.575494661452996,0.099088445056524366,0.6517857142857143,112,16,17
month,2025-08,up_given_large_move,D1,0.25077964310799106,0.69483360979448505,0.35651563048823326,1.2007258978197684,-1.8571418107386459,0.17715040997309939,0.6517857142857143,112,16,17
month,2025-08,up_given_large_move,D2,0.25398882785715532,0.70238713390228891,0.37126800140498767,1.0466733984738064,-1.2643312907489759,0.16482470969789029,0.6517857142857143,112,16,17
month,2025-08,up_given_large_move,D3,0.25684037884697897,0.70950064482341746,0.3674042852125044,1.083439684989068,-1.3303440867207266,0.15768984161307356,0.6517857142857143,112,16,17
