signature_id,rejection_reasons_json
long__compatibility_entropy_bin__concentrated__opening_range_position_bin__below_range__a2d3f36f00,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__compatibility_entropy_bin__concentrated__previous_state__1.0__rolling_high_low_location_bin__middle__f4ab396413,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_payoff"",""stock_concentration""]"
long__compatibility_entropy_bin__concentrated__session_return_bin__minus_one_to_zero__state_age_bin__2_3__cc6a0cf48c,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__compatibility_entropy_bin__concentrated__state_age_bin__7_plus__6001706692,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__compatibility_entropy_bin__concentrated__state_motif_2__2gt5__097169732e,"[""fdr_not_passed"",""insufficient_rows"",""insufficient_sessions""]"
long__compatibility_entropy_bin__concentrated__state_motif_2__5gt4__42e6d177ec,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""stock_concentration""]"
long__compatibility_entropy_bin__diffuse__c7737c0261,"[""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__compatibility_entropy_bin__diffuse__current_state__1.0__scheduled_bars_remaining_bin__65__6544a9a37d,"[""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_payoff""]"
long__compatibility_entropy_bin__diffuse__departure_probability_bin__middle__27689fbb8d,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__compatibility_entropy_bin__diffuse__return_3_bin__above_plus_one_scale__4d072e31ca,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__compatibility_entropy_bin__diffuse__state_age_bin__7_plus__09f1a388ec,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__compatibility_entropy_bin__diffuse__state_motif_2__1gt2__7dc706c24a,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__compatibility_entropy_bin__diffuse__state_motif_2__3gt0__a0f943d03b,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__compatibility_entropy_bin__diffuse__state_motif_2__3gt1__73d9b2f7ed,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__compatibility_entropy_bin__diffuse__state_motif_2__5gt6__e04ff73fcb,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__compatibility_entropy_bin__diffuse__state_motif_3__3gt6gt3__8f81238ef7,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__compatibility_entropy_bin__diffuse__state_motif_3__4gt2gt4__e6e939de87,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__compatibility_entropy_bin__diffuse__stock_vs_universe_return_bin__below_minus_one_scale__5d3cc6f3cc,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions""]"
long__compatibility_entropy_bin__mixed__6710c14012,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__compatibility_entropy_bin__mixed__current_state__2.0__172182d5e2,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__compatibility_entropy_bin__mixed__realised_volatility_bin__middle__typical_price_distance_bin__minus_one_to_zero__82fb8bfbb0,"[""chronology_not_consistent"",""fdr_not_passed""]"
