dimension,subgroup,model_id,primary_log_loss,primary_brier_score,primary_auc,primary_average_precision,primary_accuracy,primary_balanced_accuracy,primary_matthews_correlation_coefficient,primary_up_base_rate,primary_predicted_up_rate,primary_calibration_intercept,primary_calibration_slope,primary_expected_calibration_error,primary_episodes,selective_horizon_minutes,selective_total_episodes,selective_actions,selective_abstentions,selective_action_coverage,selective_call_count,selective_put_count,selective_call_put_balance,selective_directional_accuracy,selective_balanced_accuracy,selective_mean_aligned_return,selective_median_aligned_return,selective_positive_aligned_return_rate,selective_trimmed_mean_aligned_return,selective_mean_winning_aligned_return,selective_mean_losing_aligned_return,selective_payoff_ratio,selective_mean_maximum_favourable_excursion,selective_mean_maximum_adverse_excursion,selective_favourable_adverse_excursion_ratio
quiet_score,strong_distribution,Q0,0.696568569860137,0.24823756239208,0.628306878306878,0.720439937402717,0.596491228070175,0.591269841269841,0.176787139079785,0.631578947368421,0.543859649122807,0.537033296746951,0.434928222221823,0.168322276486299,57,10,58,21,37,0.362068965517241,10,11,0.476190476190476,0.571428571428571,0.6,0.00156255882124639,0.000857505199650841,0.571428571428571,0.00118175390411789,0.0108440684989184,-0.0108127874156497,1.00289297126322,0.00986041336965517,0.00982558018712443,1.00354515274084
quiet_score,strong_distribution,QS,0.715320462986429,0.260386599940437,0.535714285714286,0.700092108252597,0.56140350877193,0.593253968253968,0.183381211848019,0.631578947368421,0.403508771929825,0.552056191714724,0.14248562655724,0.153432588036086,57,10,58,18,40,0.310344827586207,7,11,0.388888888888889,0.444444444444444,0.492307692307692,-0.00254730876423243,-0.00200370326427278,0.444444444444444,-0.00299641091207503,0.00807193478365575,-0.011042703602543,0.730974503544305,0.00777749038321904,0.011688553355805,0.665393752885291
quiet_score,strong_distribution,Q1,0.716167213048306,0.256406278539387,0.633597883597884,0.734694425950257,0.649122807017544,0.672619047619048,0.334358284781332,0.631578947368421,0.456140350877193,0.605979254884472,0.459639215919373,0.19454248992175,57,10,58,20,38,0.344827586206897,7,13,0.35,0.5,0.549450549450549,0.00158701149699571,0.00161953980131243,0.5,0.000834937757980474,0.012124651032503,-0.00895062803851158,1.35461455669196,0.00972808365012316,0.00993675739348588,0.978999815020188
quiet_score,neutral,Q0,0.746614724508836,0.273037681008564,0.496212121212121,0.49318560659962,0.565217391304348,0.564393939393939,0.128787878787879,0.478260869565217,0.478260869565217,-0.072271559989279,-0.219947535089408,0.168192961094257,46,10,46,15,31,0.326086956521739,10,5,0.666666666666667,0.333333333333333,0.321428571428571,0.000958698205266966,-0.00157036185361521,0.333333333333333,-0.00208323808443122,0.0164678230932913,-0.0067958642387452,2.42321248847254,0.0148383993571534,0.0119339353509795,1.24337856044574
quiet_score,neutral,QS,0.73844893242539,0.271484542926409,0.443181818181818,0.438029281968993,0.5,0.501893939393939,0.00379868588198793,0.478260869565217,0.543478260869565,-0.0564363363670895,-1.20559859995368,0.10689545367918,46,10,46,13,33,0.282608695652174,6,7,0.461538461538462,0.307692307692308,0.30952380952381,-0.00278744702920984,-0.00162750252583809,0.307692307692308,-0.00342858583206204,0.00853934200323295,-0.0078215754880733,1.09176751106655,0.0115291806906345,0.0139774755676997,0.824839981639971
quiet_score,neutral,Q1,0.754253754558517,0.276301763356746,0.479166666666667,0.475609070568052,0.521739130434783,0.520833333333333,0.0416666666666667,0.478260869565217,0.478260869565217,-0.0644314283896903,-0.347171416505508,0.107531705037863,46,10,46,13,33,0.282608695652174,9,4,0.692307692307692,0.384615384615385,0.369047619047619,1.23229132487748e-05,-0.00157036185361521,0.384615384615385,-0.000358505420810032,0.0117435252000269,-0.00731967851598756,1.60437718328432,0.0161073190765694,0.0114920357792394,1.40160711174148
Q1_decision,CALL,Q0,0.775653763570632,0.286104213270289,0.378968253968254,0.47991504386786,0.533333333333333,0.5,0,0.533333333333333,1,1.45049816149413,-1.80189935850538,0.216633831305606,45,10,45,33,12,0.733333333333333,33,0,1,0.484848484848485,0.5,-0.00222558726523627,-0.000740814876132829,0.484848484848485,-0.00184390830442939,0.0073959829226858,-0.0112811827362217,0.655603503251365,0.00956778018150326,0.0124406343698192,0.769074944016886
Q1_decision,CALL,QS,0.725021344397137,0.265402936124018,0.432539682539683,0.539632743033161,0.444444444444444,0.416666666666667,-0.292174354895389,0.533333333333333,0.911111111111111,0.398446336093383,-0.886163582485477,0.152480562088565,45,10,45,22,23,0.488888888888889,20,2,0.909090909090909,0.5,0.423076923076923,-0.000558923381596287,0.000166859733674772,0.5,-0.00025060383988868,0.00919370613272662,-0.0103115528959192,0.891592781952856,0.0106985128414221,0.0124984801147276,0.8559851072464
Q1_decision,CALL,Q1,0.777612547661398,0.2862723660457,0.367063492063492,0.449736775455146,0.533333333333333,0.5,0,0.533333333333333,1,2.51579417184426,-2.95262699379921,0.176729211139774,45,10,45,45,0,1,45,0,1,0.533333333333333,0.5,-0.00055763094677274,0.000571706250022069,0.533333333333333,-0.000176965605711327,0.00838608297478617,-0.0107790182856972,0.778000626078698,0.0110043373791894,0.0108168212633904,1.01733560269076
Q1_decision,PUT,Q0,0.923279437408541,0.35493650148612,0.380952380952381,0.606214476509952,0.3125,0.454545454545455,-0.248160387073783,0.65625,0.03125,-0.0195865542376497,-0.921177993568725,0.365827536834818,32,10,32,26,6,0.8125,0,26,0,0.307692307692308,0.5,-0.00322298995262944,-0.00620558693832011,0.307692307692308,-0.00394353690095476,0.0133264085165651,-0.0105782781611604,1.25978995007854,0.00888329577454214,0.0130851110802392,0.678885774837438
Q1_decision,PUT,QS,0.800731406919134,0.301567900389184,0.411255411255411,0.649582147462334,0.375,0.502164502164502,0.00705398259484142,0.65625,0.09375,0.122396396570037,-1.46643052634196,0.247100064769073,32,10,32,16,16,0.5,0,16,0,0.25,0.5,-0.00580742278141622,-0.00672274875541102,0.25,-0.00552148997906976,0.00775126066350154,-0.0103269839297221,0.750583201857475,0.00900444347900097,0.0129241587001514,0.696714090867321
Q1_decision,PUT,Q1,0.945204595588468,0.362611885961429,0.428571428571429,0.668578177263394,0.34375,0.5,0,0.65625,0,-0.645848674920367,-1.53768782453539,0.355701032594227,32,10,32,32,0,1,0,32,0,0.34375,0.5,-0.00248370139986473,-0.00421155808088396,0.34375,-0.00300679718526449,0.0115204612926813,-0.00981921519119834,1.17325683044485,0.00993791776935092,0.0123091488707096,0.807360271106872
