period,analysis_level,subgroup_type,subgroup,quantity,estimate_type,n,sessions,estimate,lower_95,upper_95,status
stress,high_tail_checkpoint,overall,ALL,future_absolute_15m,median,1146,67,0.009489471112250784,0.00861141073847224,0.010527032464576886,descriptive_support_available
stress,high_tail_checkpoint,overall,ALL,post_share_of_local_range_v1,mean,1146,67,0.40860802882572717,0.40216082363419864,0.41510756888377326,descriptive_support_available
stress,high_tail_checkpoint,overall,ALL,post_share_of_local_range_v1,median,1146,67,0.40394020787495,0.39683482764111994,0.41031457002749755,descriptive_support_available
stress,high_tail_checkpoint,phase,FIRST_ENTRY,future_absolute_10m,mean,455,67,0.010794194046771075,0.00946061874642105,0.01235232065609607,descriptive_support_available
stress,high_tail_checkpoint,phase,FIRST_ENTRY,future_absolute_10m,median,455,67,0.00877264049438756,0.007662873398012607,0.01000531008270962,descriptive_support_available
stress,high_tail_checkpoint,phase,FIRST_ENTRY,future_absolute_15m,mean,455,67,0.012678840942801743,0.011129931273906511,0.014511780751550239,descriptive_support_available
stress,high_tail_checkpoint,phase,FIRST_ENTRY,future_absolute_15m,median,455,67,0.00931029261779832,0.008297742587986809,0.011274227744809195,descriptive_support_available
stress,high_tail_checkpoint,phase,FIRST_ENTRY,post_share_of_local_range_v1,mean,455,67,0.40787714072435116,0.39409516160980035,0.4194240040264339,descriptive_support_available
stress,high_tail_checkpoint,phase,FIRST_ENTRY,post_share_of_local_range_v1,median,455,67,0.4063702482497562,0.3914096081752356,0.42165731648409593,descriptive_support_available
stress,high_tail_checkpoint,phase,PERSISTENT,future_absolute_10m,mean,594,57,0.010649799912445539,0.009108356242576303,0.012224092285338013,descriptive_support_available
stress,high_tail_checkpoint,phase,PERSISTENT,future_absolute_10m,median,594,57,0.008378776952818287,0.00711434795022416,0.00969903304506029,descriptive_support_available
stress,high_tail_checkpoint,phase,PERSISTENT,future_absolute_15m,mean,594,57,0.013084359839769534,0.011541168609462235,0.014839119009699,descriptive_support_available
stress,high_tail_checkpoint,phase,PERSISTENT,future_absolute_15m,median,594,57,0.00993573546684435,0.008924974244204681,0.011257154524634468,descriptive_support_available
stress,high_tail_checkpoint,phase,PERSISTENT,post_share_of_local_range_v1,mean,594,57,0.41002306348532663,0.40235088191467905,0.41619399810016505,descriptive_support_available
