period,analysis_level,comparison,group_a,group_b,quantity,estimate_type,n_a,n_b,sessions_a,sessions_b,estimate_a_minus_b,lower_95,upper_95,status
stress,fresh_high_tail_episode,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_15m,mean,455,0,67,0,,,,blocked_insufficient_support
stress,fresh_high_tail_episode,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_15m,median,455,0,67,0,,,,blocked_insufficient_support
stress,fresh_high_tail_episode,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,post_share_of_local_range_v1,mean,455,0,67,0,,,,blocked_insufficient_support
stress,fresh_high_tail_episode,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,post_share_of_local_range_v1,median,455,0,67,0,,,,blocked_insufficient_support
stress,fresh_high_tail_episode,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_10m,mean,455,70,67,35,0.002522389737557817,0.0002707542567672246,0.004864934910283267,descriptive_support_available
stress,fresh_high_tail_episode,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_10m,median,455,70,67,35,0.0033457580083789207,0.0005946035319217756,0.005442329055689147,descriptive_support_available
stress,fresh_high_tail_episode,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_15m,mean,455,70,67,35,0.0032320561583345543,0.0007869525568070599,0.006003299764680671,descriptive_support_available
stress,fresh_high_tail_episode,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_15m,median,455,70,67,35,0.0010875006634477914,-0.0008903769657328392,0.004745482203826834,descriptive_support_available
stress,fresh_high_tail_episode,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,post_share_of_local_range_v1,mean,455,70,67,35,0.009312953333008134,-0.02080780301431678,0.04149959970185642,descriptive_support_available
stress,fresh_high_tail_episode,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,post_share_of_local_range_v1,median,455,70,67,35,0.011476259531843003,-0.03136803959727567,0.04435059010789491,descriptive_support_available
stress,fresh_high_tail_episode,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_10m,mean,0,70,0,35,,,,blocked_insufficient_support
stress,fresh_high_tail_episode,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_10m,median,0,70,0,35,,,,blocked_insufficient_support
stress,fresh_high_tail_episode,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_15m,mean,0,70,0,35,,,,blocked_insufficient_support
stress,fresh_high_tail_episode,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_15m,median,0,70,0,35,,,,blocked_insufficient_support
stress,fresh_high_tail_episode,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,post_share_of_local_range_v1,mean,0,70,0,35,,,,blocked_insufficient_support
stress,fresh_high_tail_episode,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,post_share_of_local_range_v1,median,0,70,0,35,,,,blocked_insufficient_support
stress,fresh_high_tail_episode,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,future_absolute_10m,mean,9,516,8,67,-0.004239551557207139,,,blocked_insufficient_support
stress,fresh_high_tail_episode,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,future_absolute_10m,median,9,516,8,67,-0.0023155973905278297,,,blocked_insufficient_support
stress,fresh_high_tail_episode,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,future_absolute_15m,mean,9,516,8,67,-0.005670696764603184,,,blocked_insufficient_support
stress,fresh_high_tail_episode,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,future_absolute_15m,median,9,516,8,67,-0.003805349311787008,,,blocked_insufficient_support
stress,fresh_high_tail_episode,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,post_share_of_local_range_v1,mean,9,516,8,67,0.10054481896668277,,,blocked_insufficient_support
stress,fresh_high_tail_episode,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,post_share_of_local_range_v1,median,9,516,8,67,0.11008848605844468,,,blocked_insufficient_support
