strategy,period,scope,group_type,group_value,status,blocker,trades,sessions,stocks,months,total_entry_debit,mean_net_pnl,median_net_pnl,trimmed_mean_net_pnl,mean_return_on_debit,median_return_on_debit,win_rate,full_loss_rate,maximum_gain,maximum_loss,return_p05,return_p25,return_p75,return_p95,matched_control_excess,maximum_stock_share,maximum_month_share,top_5pct_positive_pnl_contribution
S2_VETO,development,overall,overall,all,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable,,,,,,,,,,,,,,,,,,,,,,
S2_VETO,assessment,overall,overall,all,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable,,,,,,,,,,,,,,,,,,,,,,
S3,development,overall,overall,all,insufficient_support,,1,1,1,1,58.5,-39,-39,-39,-0.666666666666667,-0.666666666666667,0,0,-39,-39,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.666666666666667,,1,1,
S3,development,subgroup,entry_dte_bin,1,insufficient_support,,1,1,1,1,58.5,-39,-39,-39,-0.666666666666667,-0.666666666666667,0,0,-39,-39,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.666666666666667,,1,1,
S3,development,subgroup,previous_close_atm_iv_quartile,Q1,insufficient_support,,1,1,1,1,58.5,-39,-39,-39,-0.666666666666667,-0.666666666666667,0,0,-39,-39,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.666666666666667,,1,1,
S3,development,subgroup,spread_group,tight,insufficient_support,,1,1,1,1,58.5,-39,-39,-39,-0.666666666666667,-0.666666666666667,0,0,-39,-39,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.666666666666667,,1,1,
S3,development,subgroup,large_underlying_movement,True,insufficient_support,,1,1,1,1,58.5,-39,-39,-39,-0.666666666666667,-0.666666666666667,0,0,-39,-39,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.666666666666667,,1,1,
S3,development,subgroup,previous_close_iv_group,very_low,insufficient_support,,1,1,1,1,58.5,-39,-39,-39,-0.666666666666667,-0.666666666666667,0,0,-39,-39,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.666666666666667,,1,1,
S3,development,subgroup,recent_registered_completion_prior_6,True,insufficient_support,,1,1,1,1,58.5,-39,-39,-39,-0.666666666666667,-0.666666666666667,0,0,-39,-39,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.666666666666667,,1,1,
S3,assessment,overall,overall,all,insufficient_support,,0,0,0,0,0,,,,,,,,,,,,,,,,,
