scope,period,horizon_bars,direction,events,sessions,stocks,mean_bps,median_bps,trimmed_mean_10pct_bps,positive_rate,standard_error_bps,raw_opening_pressure_return_after_20bps,cohort_relative_return_after_20bps,excess_vs_matched_control_bps,matched_control_coverage,maximum_stock_share,maximum_month_share,hidden_family_class,assessment_events,rough_screen_positive,q_value
unregistered_primitive_like__4-7-4,assessment,12,completion_momentum_direction,74,53,17,-20.4978256826312,10.0679594378545,-10.8084658533598,0.513513513513513,30.6498644982643,12.1981268127461,24.796573614368,44.9686473090599,0.986486486486487,0.135135135135135,0.285734141701313,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,assessment,12,completion_momentum_direction,684,147,20,-35.4727700128727,-28.5277480925877,-33.669458293859,0.400584795321637,5.9729024593901,-18.6971773034047,-13.9229931466032,5.20782123434387,0.994152046783626,0.0774853801169591,0.219994432302586,,,,
unregistered_primitive_like__5-6-5,assessment,12,opposite_opening_pressure_direction,597,125,20,-32.0285705446172,-25.694761468652,-32.5345159386093,0.442211055276382,8.53393834784103,-7.97142945538276,-17.7027421791138,12.2233554448457,0.988274706867672,0.0820770519262982,0.244879918544452,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,assessment,12,opposite_opening_pressure_direction,211,94,20,-7.80995926947026,-10.7111007895977,-6.43375700046694,0.469194312796209,7.28360220758746,-32.1900407305297,-32.7970194749646,-7.28862319938958,0.995260663507109,0.151658767772512,0.303913396788105,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,assessment,12,opposite_opening_pressure_direction,75,52,20,-7.25550684291332,-22.6006501950171,-14.8750368227659,0.453333333333333,19.8866489340966,-32.7444931570867,-24.6565927971524,-3.70455771678015,0.986666666666667,0.213333333333333,0.315421293814482,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,assessment,12,opposite_opening_pressure_direction,74,53,17,-52.1981268127461,-51.6151170201873,-43.1064173522431,0.405405405405405,30.4173626978111,12.1981268127461,24.796573614368,44.9686473090599,0.986486486486487,0.135135135135135,0.285734141701313,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,assessment,12,opposite_opening_pressure_direction,684,147,20,-21.3028226965953,-25.2730733324602,-23.1853922232753,0.41812865497076,6.00196640947332,-18.6971773034047,-13.9229931466032,5.20782123434387,0.994152046783626,0.0774853801169591,0.219994432302586,,,,
unregistered_primitive_like__5-6-5,all,6,opening_pressure_direction,1564,340,20,-14.9343454732259,-12.8370777192815,-14.5834929513636,0.463554987212276,4.60863072999202,-14.9343454732259,-15.2677105222409,5.00184594069628,0.993606138107417,0.105498721227621,0.104227743487624,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,all,6,opening_pressure_direction,658,251,20,-19.6524573476655,-20.7003640829106,-20.9832017449248,0.369300911854103,3.40517893129226,-19.6524573476655,-20.462968774596,0.13379758106154,0.993920972644377,0.132218844984802,0.168237027214155,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,all,6,opening_pressure_direction,200,144,20,-20.8612202701361,-19.7999090081902,-21.3400091889878,0.405,7.79151162500912,-20.8612202701361,-19.0375303975972,-1.11379520580893,0.995,0.12,0.156900569292005,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,all,6,opening_pressure_direction,173,119,19,-10.9764122117853,-26.1903433552979,-20.5646357528871,0.439306358381503,15.5957622636888,-10.9764122117853,0.876130918891887,12.9478298366899,0.994219653179191,0.161849710982659,0.150752521504423,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,all,6,opening_pressure_direction,1722,374,20,-16.4264722738572,-20,-17.5946205751528,0.412311265969803,3.00458119447799,-16.4264722738572,-16.6333531030803,0.475262268945602,0.992450638792102,0.0749128919860627,0.0953097348980698,,,,
unregistered_primitive_like__5-6-5,all,6,completion_momentum_direction,1564,340,20,-13.0879086398408,-17.6536588761666,-14.8769274507961,0.460358056265985,4.60709533183395,-14.9343454732259,-15.2677105222409,5.00184594069628,0.993606138107417,0.105498721227621,0.104227743487624,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,all,6,completion_momentum_direction,658,251,20,-21.398639006957,-20,-20.9356360495004,0.375379939209726,3.40476870564384,-19.6524573476655,-20.462968774596,0.13379758106154,0.993920972644377,0.132218844984802,0.168237027214155,unregistered_primitive_like__2-3-2,211,False,1
