partition,session,checkpoint,market_proxy_v1,market_shock_state_v1,market_shock_event_id_v1,shock_sign_v1,market_return_w0_v1,market_range_w0_v1,market_return_w1_v1,market_range_w1_v1,fresh_high_m1c_episode_count,represented_stock_count,amplifying_episode_count,resisting_episode_count,neutral_exact_episode_count
development,2024-04-10,14,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-7ff7743c689b8aa524b85d99,1.0,0.002288500668670446,0.003090256474145218,0.0007835952210734122,0.0024106786003924648,0,0,0,0,0
development,2024-04-10,18,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-555ab2576477b132419e94f4,-1.0,-0.001879827425272893,0.00260763765445337,0.0010961400949071462,0.003090256474145218,0,0,0,0,0
development,2024-04-10,24,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-75e8fc804533cb90c5eb606a,1.0,0.0011860556643477765,0.0019019376344961802,-0.0008337500406088491,0.0016082379020400472,0,0,0,0,0
development,2024-04-10,28,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-4cfdca8c46d84fbb4cddcc4f,-1.0,-0.0015333959588782892,0.001982725605024514,0.0006694610706029395,0.0016467612285301118,0,0,0,0,0
development,2024-04-11,8,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-8512b7bb68cffd318031d5dd,-1.0,-0.002590280072807078,0.0038253703829890366,-0.00027430094424718554,0.0018444872113360957,0,0,0,0,0
development,2024-04-11,10,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-26f6ff6967aad279da9da88a,-1.0,-0.0028502883966262257,0.0036957108298614687,-0.0011966220399997841,0.0026335865218594066,0,0,0,0,0
development,2024-04-11,30,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-f5727bbfa217f5ff85033392,1.0,0.0030367778421472686,0.0030760131555125376,0.0007067973180685716,0.0020411531498625737,0,0,0,0,0
development,2024-04-12,8,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-1adc57d24a0d5efa22a4887b,-1.0,-0.0026273931621316905,0.0032552318440592764,0.00011749339252225947,0.0016721014741745727,0,0,0,0,0
development,2024-04-12,14,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-2e623c7adcbe33d50efdbcf0,-1.0,-0.0023772189236638246,0.0028294159583509785,0.0005103539072629633,0.001884628973966823,0,0,0,0,0
development,2024-04-12,16,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-9c0fdc64003a75690a3bcd9d,-1.0,-0.0021632803362227203,0.002477750874205103,-0.0012957262488626853,0.0016413691123932578,0,0,0,0,0
development,2024-04-12,24,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-3db0fc0ae6685567a90df0fc,1.0,0.0016518449311592558,0.001957996375034134,0.0007284604914878271,0.0016139034116870097,0,0,0,0,0
development,2024-04-15,8,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-423153ed73cf9b8b86a166ba,-1.0,-0.0036156376018304155,0.004105886554297164,0.0005862570932171125,0.001839464325026462,0,0,0,0,0
development,2024-04-15,10,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-d7564cbb703f42fe692592af,-1.0,-0.00287820303456406,0.005013429674933401,-0.001293636637981793,0.001466375426949512,0,0,0,0,0
development,2024-04-15,14,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-d804551de972ed14afcae253,-1.0,-0.0020807209987920715,0.0025903317744644335,-0.0007975895204029416,0.002717851991157197,0,0,0,0,0
development,2024-04-15,18,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-56d82a0d2fa990ab8c63610a,-1.0,-0.001934922711607242,0.002323844239036713,-0.0006310301593410515,0.0025903317744644335,0,0,0,0,0
development,2024-04-15,26,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-74f403767a1dda8329577694,1.0,0.0019751142657343074,0.0026459703478724944,-0.00019769892754856113,0.001482345580312727,0,0,0,0,0
development,2024-04-15,30,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-b7208bf9e3752ac2506ee619,1.0,0.0012231965091649597,0.001735913949405406,0.0003948467946857906,0.0014603874624045427,0,0,0,0,0
development,2024-04-15,34,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-06116ecdf98b1de7c62a702e,-1.0,-0.0015383668300258282,0.0018537258293167803,0.0017357769608086328,0.0018145606592594975,0,0,0,0,0
development,2024-04-16,12,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-8cadb7d19673e55150c250ae,-1.0,-0.0030087276575614425,0.0038295483357724727,0.0009216944333649847,0.0024058836168999744,0,0,0,0,0
