archetype,metric,interval_level_percent,lower,median,upper,draws,seed,unit,models_refit
R1,positive_return_rate,80,0.4421325275199655,0.5123284947305626,0.5815891472868218,100,20260726,whole_session,False
R1,positive_return_rate,90,0.4301570557899672,0.5123284947305626,0.5958274244572924,100,20260726,whole_session,False
R1,positive_return_rate,95,0.4171490309062336,0.5123284947305626,0.6122918054630245,100,20260726,whole_session,False
R1,remaining_movement_fraction,80,0.5077344707297545,0.5440634274364521,0.5724677900736487,100,20260726,whole_session,False
R1,remaining_movement_fraction,90,0.49944508476111676,0.5440634274364521,0.5933485870922883,100,20260726,whole_session,False
R1,remaining_movement_fraction,95,0.49558433933382473,0.5440634274364521,0.5978773079373624,100,20260726,whole_session,False
R1,iv_excess_subgroup_accuracy,80,0.38445171849427173,0.5246166263115416,0.6529942575881871,100,20260726,whole_session,False
R1,iv_excess_subgroup_accuracy,90,0.37027290448343075,0.5246166263115416,0.6805454545454546,100,20260726,whole_session,False
R1,iv_excess_subgroup_accuracy,95,0.36172727272727273,0.5246166263115416,0.7038461538461537,100,20260726,whole_session,False
R1,largest_movement_quartile_accuracy,80,0.3333333333333333,0.5773809523809523,0.7777777777777778,100,20260726,whole_session,False
R1,largest_movement_quartile_accuracy,90,0.2763888888888889,0.5773809523809523,0.8009090909090909,100,20260726,whole_session,False
R1,largest_movement_quartile_accuracy,95,0.24227941176470588,0.5773809523809523,0.8386413043478259,100,20260726,whole_session,False
