record_type,draw,metric,value,interval_90_lower,interval_90_upper,interval_95_lower,interval_95_upper
draw,70,D2_minus_D1_log_loss_improvement,-0.0080265026500935255,,,,
draw,71,D2_minus_D1_log_loss_improvement,-0.0071291155402319895,,,,
draw,72,D2_minus_D1_log_loss_improvement,-0.00542871484761831,,,,
draw,73,D2_minus_D1_log_loss_improvement,-0.015072088795548333,,,,
draw,74,D2_minus_D1_log_loss_improvement,-0.010531117372900134,,,,
draw,75,D2_minus_D1_log_loss_improvement,-0.0075158914955099076,,,,
draw,76,D2_minus_D1_log_loss_improvement,-0.0038868583139177737,,,,
draw,77,D2_minus_D1_log_loss_improvement,-0.0012964184819234115,,,,
draw,78,D2_minus_D1_log_loss_improvement,-0.0020677974149683198,,,,
draw,79,D2_minus_D1_log_loss_improvement,-0.0055210329938341074,,,,
draw,80,D2_minus_D1_log_loss_improvement,-0.014624977393577598,,,,
draw,81,D2_minus_D1_log_loss_improvement,-0.0040979712829571913,,,,
draw,82,D2_minus_D1_log_loss_improvement,-0.0099481312008081746,,,,
draw,83,D2_minus_D1_log_loss_improvement,-0.0027440193916602462,,,,
draw,84,D2_minus_D1_log_loss_improvement,-0.013819508971105954,,,,
draw,85,D2_minus_D1_log_loss_improvement,-0.014060999218166725,,,,
draw,86,D2_minus_D1_log_loss_improvement,-0.014113447582232208,,,,
draw,87,D2_minus_D1_log_loss_improvement,-0.006805105034642045,,,,
draw,88,D2_minus_D1_log_loss_improvement,-0.0023282467198932899,,,,
draw,89,D2_minus_D1_log_loss_improvement,-0.0069129231958048321,,,,
draw,90,D2_minus_D1_log_loss_improvement,-0.014872299391642141,,,,
draw,91,D2_minus_D1_log_loss_improvement,-0.0023973865695245955,,,,
draw,92,D2_minus_D1_log_loss_improvement,-0.011156463013671902,,,,
draw,93,D2_minus_D1_log_loss_improvement,-0.0042467297421771022,,,,
draw,94,D2_minus_D1_log_loss_improvement,-0.012279104483646219,,,,
draw,95,D2_minus_D1_log_loss_improvement,-0.0099661722143554732,,,,
draw,96,D2_minus_D1_log_loss_improvement,-0.015179501216080804,,,,
draw,97,D2_minus_D1_log_loss_improvement,-0.0049152570642696514,,,,
draw,98,D2_minus_D1_log_loss_improvement,-0.0043902602793425283,,,,
draw,99,D2_minus_D1_log_loss_improvement,-0.0089058013427212313,,,,
draw,100,D2_minus_D1_log_loss_improvement,-0.00045319009010480471,,,,
draw,101,D2_minus_D1_log_loss_improvement,0.00080943552559697984,,,,
draw,102,D2_minus_D1_log_loss_improvement,-0.0087201016006052123,,,,
draw,103,D2_minus_D1_log_loss_improvement,-0.018030679942168559,,,,
draw,104,D2_minus_D1_log_loss_improvement,-0.0070376204769572182,,,,
draw,105,D2_minus_D1_log_loss_improvement,-0.0065977534098133894,,,,
draw,106,D2_minus_D1_log_loss_improvement,-0.0038050215718904434,,,,
draw,107,D2_minus_D1_log_loss_improvement,-0.016186151592309406,,,,
draw,108,D2_minus_D1_log_loss_improvement,-0.0077558373135718783,,,,
draw,109,D2_minus_D1_log_loss_improvement,-0.006428437704956047,,,,
draw,110,D2_minus_D1_log_loss_improvement,-0.011737805980279514,,,,
draw,111,D2_minus_D1_log_loss_improvement,-0.016041204466817338,,,,
draw,112,D2_minus_D1_log_loss_improvement,-0.013258369565756545,,,,
draw,113,D2_minus_D1_log_loss_improvement,-0.016496532430763322,,,,
draw,114,D2_minus_D1_log_loss_improvement,-0.0055650231920817417,,,,
draw,115,D2_minus_D1_log_loss_improvement,-0.012231793367756039,,,,
draw,116,D2_minus_D1_log_loss_improvement,-0.00854452202031597,,,,
draw,117,D2_minus_D1_log_loss_improvement,-0.009038861498392059,,,,
draw,118,D2_minus_D1_log_loss_improvement,-0.0093759893181455389,,,,
draw,119,D2_minus_D1_log_loss_improvement,-0.0055717938454761251,,,,
draw,120,D2_minus_D1_log_loss_improvement,-0.010879995791729935,,,,
draw,121,D2_minus_D1_log_loss_improvement,-0.0040335850294809239,,,,
draw,122,D2_minus_D1_log_loss_improvement,-0.011811171610547344,,,,
draw,123,D2_minus_D1_log_loss_improvement,-0.0025344971128907767,,,,
