stage,model,scope_type,scope_value,bin,mean_probability,outcome_rate,rows
direction,D2,month,2025-03,7,0.648349362245,0.428571428571,7
direction,D2,month,2025-03,8,0.739540931681,0.5,4
direction,D2,month,2025-03,9,0.808690653945,1,1
direction,D2,month,2025-03,10,,,0
direction,D3,month,2025-03,1,0.0747698722236,1,1
direction,D3,month,2025-03,2,,,0
direction,D3,month,2025-03,3,0.243033545557,0.75,4
direction,D3,month,2025-03,4,0.344005287465,0.5,10
direction,D3,month,2025-03,5,0.459829078777,0.8,5
direction,D3,month,2025-03,6,0.536592647353,0.428571428571,7
direction,D3,month,2025-03,7,0.658846785194,0.25,4
direction,D3,month,2025-03,8,0.768586440235,0.6,5
direction,D3,month,2025-03,9,0.834530441469,0.5,2
direction,D3,month,2025-03,10,0.963470648005,0,1
onset,A0,month,2025-03,1,,,0
onset,A0,month,2025-03,2,0.150612259901,0.119718309859,142
onset,A0,month,2025-03,3,0.2345437894,0.235294117647,34
onset,A0,month,2025-03,4,0.350012880173,0.25,12
onset,A0,month,2025-03,5,0.447121275993,0.666666666667,6
onset,A0,month,2025-03,6,0.552034905736,0.666666666667,3
onset,A0,month,2025-03,7,0.636303872811,1,2
onset,A0,month,2025-03,8,0.719476322702,0.5,2
onset,A0,month,2025-03,9,0.819276745378,1,2
onset,A0,month,2025-03,10,,,0
onset,A1,month,2025-03,1,0.0820729712111,0.2,15
onset,A1,month,2025-03,2,0.153397305859,0.15,100
onset,A1,month,2025-03,3,0.244133426701,0.145454545455,55
onset,A1,month,2025-03,4,0.342314072951,0.25,16
onset,A1,month,2025-03,5,0.435296884772,0.285714285714,7
onset,A1,month,2025-03,6,0.559018505943,0.666666666667,3
onset,A1,month,2025-03,7,0.666007007521,0.5,2
onset,A1,month,2025-03,8,0.725202952059,0.75,4
onset,A1,month,2025-03,9,,,0
onset,A1,month,2025-03,10,0.956576538772,1,1
onset,A2,month,2025-03,1,0.0804710873762,0.142857142857,21
onset,A2,month,2025-03,2,0.153215591465,0.147727272727,88
onset,A2,month,2025-03,3,0.242260170768,0.137254901961,51
onset,A2,month,2025-03,4,0.331587064033,0.35,20
onset,A2,month,2025-03,5,0.442897811609,0.25,12
onset,A2,month,2025-03,6,0.553660894192,0.25,4
onset,A2,month,2025-03,7,0.648179253902,0.333333333333,3
onset,A2,month,2025-03,8,0.722049772716,1,3
onset,A2,month,2025-03,9,,,0
onset,A2,month,2025-03,10,0.974849142221,1,1
onset,A3,month,2025-03,1,0.0769938352152,0.2,30
onset,A3,month,2025-03,2,0.146276141576,0.158536585366,82
onset,A3,month,2025-03,3,0.238233733041,0.133333333333,45
onset,A3,month,2025-03,4,0.334163665998,0.130434782609,23
onset,A3,month,2025-03,5,0.435586283144,0.375,8
onset,A3,month,2025-03,6,0.549930141389,0.5,4
onset,A3,month,2025-03,7,0.633731741521,0,3
onset,A3,month,2025-03,8,0.741589873642,0.666666666667,3
onset,A3,month,2025-03,9,0.834835179669,1,3
onset,A3,month,2025-03,10,0.968185912056,0.5,2
direction,D0,month,2025-04,1,,,0
direction,D0,month,2025-04,2,,,0
direction,D0,month,2025-04,3,,,0
direction,D0,month,2025-04,4,,,0
direction,D0,month,2025-04,5,0.471459268284,0.470588235294,17
direction,D0,month,2025-04,6,0.527794847886,0.4,5
direction,D0,month,2025-04,7,,,0
direction,D0,month,2025-04,8,,,0
direction,D0,month,2025-04,9,,,0
direction,D0,month,2025-04,10,,,0
direction,D1,month,2025-04,1,,,0
direction,D1,month,2025-04,2,,,0
direction,D1,month,2025-04,3,,,0
direction,D1,month,2025-04,4,0.349462362777,0.6,5
direction,D1,month,2025-04,5,0.451121294464,0.625,8
direction,D1,month,2025-04,6,0.555726719146,0.25,8
direction,D1,month,2025-04,7,0.656904172827,0,1
direction,D1,month,2025-04,8,,,0
direction,D1,month,2025-04,9,,,0
direction,D1,month,2025-04,10,,,0
direction,D2,month,2025-04,1,,,0
direction,D2,month,2025-04,2,0.127134326798,1,1
direction,D2,month,2025-04,3,0.261311192968,0.666666666667,6
direction,D2,month,2025-04,4,0.358427582938,1,1
direction,D2,month,2025-04,5,0.478120303502,0,1
direction,D2,month,2025-04,6,0.547345524779,0.285714285714,7
direction,D2,month,2025-04,7,0.659947795869,0.333333333333,6
direction,D2,month,2025-04,8,,,0
direction,D2,month,2025-04,9,,,0
direction,D2,month,2025-04,10,,,0
direction,D3,month,2025-04,1,,,0
direction,D3,month,2025-04,2,0.149904048804,1,2
direction,D3,month,2025-04,3,0.267918039792,0.5,4
direction,D3,month,2025-04,4,0.323604072219,1,2
direction,D3,month,2025-04,5,0.469173525406,0,3
direction,D3,month,2025-04,6,0.571821103228,0.333333333333,6
direction,D3,month,2025-04,7,0.663280343698,0.4,5
direction,D3,month,2025-04,8,,,0
direction,D3,month,2025-04,9,,,0
direction,D3,month,2025-04,10,,,0
onset,A0,month,2025-04,1,,,0
onset,A0,month,2025-04,2,0.149566118447,0.0645161290323,124
onset,A0,month,2025-04,3,0.244996738924,0.125,24
onset,A0,month,2025-04,4,0.344894601132,0.230769230769,26
onset,A0,month,2025-04,5,0.440885272071,0.166666666667,6
onset,A0,month,2025-04,6,0.55480656116,0.1,10
onset,A0,month,2025-04,7,0.660716729179,0.333333333333,6
onset,A0,month,2025-04,8,0.73101953435,0.333333333333,3
onset,A0,month,2025-04,9,,,0
onset,A0,month,2025-04,10,,,0
onset,A1,month,2025-04,1,0.0864921507836,0.0769230769231,13
onset,A1,month,2025-04,2,0.14271700814,0.0686274509804,102
onset,A1,month,2025-04,3,0.245753348879,0.130434782609,46
onset,A1,month,2025-04,4,0.354514808588,0.307692307692,13
onset,A1,month,2025-04,5,0.445874740833,0.166666666667,6
onset,A1,month,2025-04,6,0.545188178756,0.25,8
onset,A1,month,2025-04,7,0.630600548116,0,7
onset,A1,month,2025-04,8,0.710488190466,0.333333333333,3
onset,A1,month,2025-04,9,0.80924511037,0,1
onset,A1,month,2025-04,10,,,0
onset,A2,month,2025-04,1,0.0805220201794,0,18
onset,A2,month,2025-04,2,0.142821052748,0.0729166666667,96
onset,A2,month,2025-04,3,0.240372518592,0.166666666667,42
onset,A2,month,2025-04,4,0.354045404837,0.117647058824,17
onset,A2,month,2025-04,5,0.439143553365,0.375,8
onset,A2,month,2025-04,6,0.560050868284,0.1,10
onset,A2,month,2025-04,7,0.645931163372,0.142857142857,7
onset,A2,month,2025-04,8,0.724375411465,1,1
onset,A2,month,2025-04,9,,,0
onset,A2,month,2025-04,10,,,0
onset,A3,month,2025-04,1,0.079959879009,0.0769230769231,26
onset,A3,month,2025-04,2,0.147452858093,0.0561797752809,89
onset,A3,month,2025-04,3,0.23611657583,0.166666666667,30
onset,A3,month,2025-04,4,0.340786567333,0.208333333333,24
onset,A3,month,2025-04,5,0.442931296367,0.166666666667,12
onset,A3,month,2025-04,6,0.546882349043,0.1,10
onset,A3,month,2025-04,7,0.637786663815,0.25,4
onset,A3,month,2025-04,8,0.733603123273,0.333333333333,3
onset,A3,month,2025-04,9,,,0
onset,A3,month,2025-04,10,0.952542115715,0,1
