record_type,draw,metric,value,real_value,null_90th_percentile,real_percentile_under_null
draw,56,direction_M3_minus_M2_brier_improvement,-0.00235118259885,-0.00236751462572,,
draw,57,movement_M2_minus_M1_brier_improvement,-0.000758757853756,-0.000980693941384,,
draw,57,movement_M3_minus_M2_brier_improvement,-0.00116464150403,-0.000781293526861,,
draw,57,direction_M2_minus_M1_brier_improvement,-0.00805508627761,9.30998956193e-05,,
draw,57,direction_M3_minus_M2_brier_improvement,-0.00144523839543,-0.00236751462572,,
draw,58,movement_M2_minus_M1_brier_improvement,-0.000604083479707,-0.000980693941384,,
draw,58,movement_M3_minus_M2_brier_improvement,-0.000306768003555,-0.000781293526861,,
draw,58,direction_M2_minus_M1_brier_improvement,-0.00261457362845,9.30998956193e-05,,
draw,58,direction_M3_minus_M2_brier_improvement,-0.0021517007437,-0.00236751462572,,
draw,59,movement_M2_minus_M1_brier_improvement,-0.000524478985245,-0.000980693941384,,
draw,59,movement_M3_minus_M2_brier_improvement,-0.000487167314664,-0.000781293526861,,
draw,59,direction_M2_minus_M1_brier_improvement,-0.00351231165373,9.30998956193e-05,,
draw,59,direction_M3_minus_M2_brier_improvement,-0.00198746762047,-0.00236751462572,,
draw,60,movement_M2_minus_M1_brier_improvement,-0.000735541705837,-0.000980693941384,,
draw,60,movement_M3_minus_M2_brier_improvement,-0.000629902849703,-0.000781293526861,,
draw,60,direction_M2_minus_M1_brier_improvement,-0.00714828483482,9.30998956193e-05,,
draw,60,direction_M3_minus_M2_brier_improvement,-0.00696847784622,-0.00236751462572,,
draw,61,movement_M2_minus_M1_brier_improvement,-0.000451174917607,-0.000980693941384,,
draw,61,movement_M3_minus_M2_brier_improvement,-0.000503455807927,-0.000781293526861,,
draw,61,direction_M2_minus_M1_brier_improvement,-0.00328781377661,9.30998956193e-05,,
draw,61,direction_M3_minus_M2_brier_improvement,-0.00373186800526,-0.00236751462572,,
draw,62,movement_M2_minus_M1_brier_improvement,-0.00108801968467,-0.000980693941384,,
draw,62,movement_M3_minus_M2_brier_improvement,-0.000235017467049,-0.000781293526861,,
draw,62,direction_M2_minus_M1_brier_improvement,-0.00303033666389,9.30998956193e-05,,
draw,62,direction_M3_minus_M2_brier_improvement,-0.00756611668601,-0.00236751462572,,
