record_type,draw,comparison,metric,real_value,null_value,null_q90,real_percentile,draws,activity_bundle_sha256
draw,0,D2_minus_D1,brier,-0.0231968307288,-0.00709277776346,,,50,f2c6fef07b8d68c64ee3ffd42125af8fbe3f98be5e81883b266a8359179eb1e1
draw,1,D2_minus_D1,brier,-0.0231968307288,-0.00902754030517,,,50,56afe97fc07abfba2f8caaacf616d4c768c78a5b27855445a298647050314d91
draw,2,D2_minus_D1,brier,-0.0231968307288,-0.0171957139281,,,50,110ee76bf3a5c1f9979b8b879a26baf6cb6c777472a682d47680b43f5bb53c46
draw,3,D2_minus_D1,brier,-0.0231968307288,-0.00259951162231,,,50,8aad592d0c386fd44c0537cd5162d7d99e99cb162b5077fab48375c185ca0d7d
draw,4,D2_minus_D1,brier,-0.0231968307288,-0.00529657605297,,,50,97ae920252c53d6e4534b78a59dcd3d86a5141ef1c0712cab5773fbe62391d47
draw,5,D2_minus_D1,brier,-0.0231968307288,-0.00920301655722,,,50,a70d53ff09f44a0be221fc10d639c6f15593ea6f5cfaec59ffd656c6075175aa
draw,6,D2_minus_D1,brier,-0.0231968307288,-0.00834428572324,,,50,b94bd853b4655bd5ae15e3c23c5274f6179097ec442b6d11aea5289f2c50ecd6
draw,7,D2_minus_D1,brier,-0.0231968307288,0.00723117148406,,,50,1650905f476e7286973340250a49c5de5d0b47a860ededcdf0fd0a0b3e896284
draw,8,D2_minus_D1,brier,-0.0231968307288,-0.0149755546495,,,50,dcc1e79919809e15708af1df5d423a43a7f2dc614fe3cdcb8a8e04e03547ac7e
draw,9,D2_minus_D1,brier,-0.0231968307288,-0.0138018551744,,,50,54918618ff97d05948717e3ac84a65b558c04ca2cd079a68806855ae64ddc35e
draw,10,D2_minus_D1,brier,-0.0231968307288,-0.0160209586335,,,50,e28e0126002e2758899dabe398d80cfc40ceb3aabc5e45dcf02467d0e4f196d3
draw,11,D2_minus_D1,brier,-0.0231968307288,-0.00919642388357,,,50,f64ef63b03a190777ff45f0888a8591a892bf3be1650361500696c81c93cf6c3
draw,12,D2_minus_D1,brier,-0.0231968307288,-0.022653309725,,,50,8a50be13c2e47c23a6d51acf935f086c28b22a76592c2846d62832936336d6e3
draw,13,D2_minus_D1,brier,-0.0231968307288,-0.00327322470393,,,50,75b945417e0a5d8ab973440305883d5d0468387aecdfcf8f048ddb9c6645252e
draw,14,D2_minus_D1,brier,-0.0231968307288,0.00455557630618,,,50,382f0c5453b6fd60005fb86d5aa3f700567d8e6f7cda2fb1ed776ec617e68cea
draw,15,D2_minus_D1,brier,-0.0231968307288,-0.00987031684981,,,50,ca9a8629aa49f79e01955c3d3eb84069f5420638a1a90d2b375d6ffc51914fe6
