candidate,scope_type,scope_value,horizon,friction_bps,mean_signed_return_bps,mean_cohort_relative_signed_return_bps,positive_selection_pct,rows
price_system,month,2025-04,15_minute_terminal,0,-31.7938975319,-28.1222863042,0.371428571429,35
price_system,month,2025-04,15_minute_terminal,10,-41.7938975319,-38.1222863042,0.371428571429,35
price_system,month,2025-04,15_minute_terminal,20,-51.7938975319,-48.1222863042,0.342857142857,35
price_system,month,2025-04,30_minute_terminal,0,36.7928310499,3.46818457865,0.6,35
price_system,month,2025-04,30_minute_terminal,10,26.7928310499,-6.53181542135,0.542857142857,35
price_system,month,2025-04,30_minute_terminal,20,16.7928310499,-16.5318154214,0.514285714286,35
random_admitted_stock,month,2025-04,15_minute_terminal,0,49.818247173,10.7632750693,0.542857142857,35
random_admitted_stock,month,2025-04,15_minute_terminal,10,39.818247173,0.763275069303,0.485714285714,35
random_admitted_stock,month,2025-04,15_minute_terminal,20,29.818247173,-9.2367249307,0.428571428571,35
random_admitted_stock,month,2025-04,30_minute_terminal,0,30.2594620373,7.3521511296,0.6,35
random_admitted_stock,month,2025-04,30_minute_terminal,10,20.2594620373,-2.6478488704,0.514285714286,35
random_admitted_stock,month,2025-04,30_minute_terminal,20,10.2594620373,-12.6478488704,0.485714285714,35
strongest_one_minute_reversal,month,2025-04,15_minute_terminal,0,42.3142614396,18.7726787182,0.485714285714,35
strongest_one_minute_reversal,month,2025-04,15_minute_terminal,10,32.3142614396,8.77267871819,0.485714285714,35
strongest_one_minute_reversal,month,2025-04,15_minute_terminal,20,22.3142614396,-1.22732128181,0.457142857143,35
strongest_one_minute_reversal,month,2025-04,30_minute_terminal,0,38.5995091819,35.9622917359,0.542857142857,35
strongest_one_minute_reversal,month,2025-04,30_minute_terminal,10,28.5995091819,25.9622917359,0.514285714286,35
strongest_one_minute_reversal,month,2025-04,30_minute_terminal,20,18.5995091819,15.9622917359,0.457142857143,35
activity_system,month,2025-05,15_minute_terminal,0,51.6103528509,46.9515716455,0.425,40
activity_system,month,2025-05,15_minute_terminal,10,41.6103528509,36.9515716455,0.425,40
activity_system,month,2025-05,15_minute_terminal,20,31.6103528509,26.9515716455,0.425,40
activity_system,month,2025-05,30_minute_terminal,0,24.9002024598,21.0198400452,0.475,40
activity_system,month,2025-05,30_minute_terminal,10,14.9002024598,11.0198400452,0.45,40
activity_system,month,2025-05,30_minute_terminal,20,4.90020245981,1.01984004519,0.45,40
highest_one_minute_relative_momentum,month,2025-05,15_minute_terminal,0,8.58349453169,18.1699931948,0.5,40
highest_one_minute_relative_momentum,month,2025-05,15_minute_terminal,10,-1.41650546831,8.16999319478,0.475,40
highest_one_minute_relative_momentum,month,2025-05,15_minute_terminal,20,-11.4165054683,-1.83000680522,0.475,40
highest_one_minute_relative_momentum,month,2025-05,30_minute_terminal,0,-30.5231812586,-4.69727656782,0.475,40
highest_one_minute_relative_momentum,month,2025-05,30_minute_terminal,10,-40.5231812586,-14.6972765678,0.45,40
highest_one_minute_relative_momentum,month,2025-05,30_minute_terminal,20,-50.5231812586,-24.6972765678,0.45,40
interaction_system,month,2025-05,15_minute_terminal,0,60.8673176055,65.805027419,0.45,40
